age_group,credit_score_band,users,churned_users,churn_rate_pct
18-24,Under 500,887,487,54.9
25-34,Under 500,1698,883,52.0
35-44,Under 500,759,389,51.25
18-24,Missing,1998,1013,50.7
18-24,500-599,2180,1087,49.86
45-54,Under 500,274,128,46.72
25-34,500-599,5135,2357,45.9
25-34,Missing,2946,1342,45.55
45-54,Missing,632,277,43.83
35-44,500-599,2416,1038,42.96
35-44,Missing,1447,601,41.53
18-24,600-699,651,264,40.55
55+,Missing,342,134,39.18
45-54,500-599,976,375,38.42
55+,500-599,337,126,37.39
25-34,600-699,984,322,32.72
45-54,600-699,212,65,30.66
35-44,600-699,501,149,29.74
