user,churn,age,credit_score,housing,payment_type,is_referred,total_deposits,total_withdrawals,total_purchases,total_partner_purchases,credit_card_applications,waiting_for_loan,cancelled_loan,received_loan,rejected_loan,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,rewards_earned,reward_rate,age_group,credit_score_band,activity_score,activity_segment,rewards_segment,loan_status,platform_segment,risk_score,risk_segment,recommended_action
1,0,21.0,577.0,R,Semi-Monthly,0,48,4,45,52,22,0,0,0,0,1,1,1,0,1,2,56.0,1.87,18-24,500-599,167,High Activity,High Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
4,0,35.0,566.0,R,Semi-Monthly,0,15,0,15,73,8,0,0,0,0,1,1,1,0,1,0,49.0,1.63,35-44,500-599,111,High Activity,Low Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
8,1,31.0,519.0,na,Bi-Weekly,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,18.0,0.6,25-34,500-599,2,Very Low Activity,Low Rewards,No Loan Interaction,App Only,45,Medium Risk,Maintain engagement with lifecycle messaging
9,0,26.0,,na,Weekly,0,0,0,0,30,5,0,0,0,0,1,1,1,0,1,2,23.0,0.77,25-34,Missing,35,Moderate Activity,Low Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
10,0,33.0,558.0,R,Bi-Weekly,1,0,0,0,76,8,0,0,0,0,1,0,0,0,1,0,45.0,1.5,25-34,500-599,84,High Activity,Low Rewards,No Loan Interaction,App Only,10,Low Risk,Maintain engagement with lifecycle messaging
11,0,26.0,559.0,R,Bi-Weekly,1,0,0,0,206,27,0,0,0,0,1,1,1,0,1,0,60.0,2.0,25-34,500-599,233,High Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
13,0,33.0,554.0,R,Semi-Monthly,1,2,0,2,114,18,0,0,0,0,1,1,1,0,1,0,61.0,2.03,25-34,500-599,136,High Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
14,0,54.0,501.0,R,na,0,0,0,0,81,6,0,0,0,0,1,0,0,0,1,2,53.0,1.77,45-54,500-599,87,High Activity,High Rewards,No Loan Interaction,App Only,10,Low Risk,Maintain engagement with lifecycle messaging
18,1,27.0,495.0,na,na,1,0,0,0,169,10,0,0,0,0,1,1,1,0,1,2,53.0,1.77,25-34,Under 500,179,High Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
19,1,28.0,500.0,R,na,1,0,0,0,11,0,0,0,0,0,1,0,0,0,1,0,37.0,1.23,25-34,500-599,11,Low Activity,Low Rewards,No Loan Interaction,App Only,30,Medium Risk,Maintain engagement with lifecycle messaging
